ab-01|Dunque.
ab-02|Grande storia, ma lasciamo perdere. E in ogni caso questa sera scherziamo un po' come avete capito dal nostro titolo ma non del tutto, non del tutto.
ab-03|C'è un fondo.
ab-04|di verità in questa analogia che vi propongo.
ab-05|Perché insomma.
ab-06|immaginiamo che io adesso mi metta a parlarvi di una grande multinazionale.
ab-07|una grande organizzazione conosciuta in tutto il mondo.
ab-08|con sedi in tutti i Paesi.
ab-09|Fondata grazie.
ab-10|allo slancio visionario di un giovane fondatore carismatico.
ab-11|che è diventato un mito già da vivo.
ab-12|e ancor di più dopo la morte.
ab-13|Un'organizzazione riconoscibile anche dal punto di vista visivo per le sue scelte di comunicazione. Per il look inconfondibile,
ab-14|che la caratterizza.
ab-15|Sto parlando della Apple e di Steve Jobs.
ab-16|Naturalmente no, sto parlando di San Francesco e dell'Ordine francescano.
ab-17|Le analogie fra gli ordini religiosi.
ab-18|del Medioevo perché io sono specialista di Medioevo e quelli li conosco meglio. Ma il discorso potrebbe essere prolungato anche agli ordini religiosi dell'età moderna e fino ad oggi.
ab-19|le analogie con le grandi aziende odierne.
ab-20|sono così vistose.
ab-21|tanto nel funzionamento nell'organizzazione.
ab-22|quanto proprio nelle comunicazioni.
ab-23|Che vien da chiedersi se se le strategie e il linguaggio delle multinazionali non si siano ispirati consapevolmente,,
ab-24|a quell'esperienza.
ab-25|Poi vien da chiedersi e uno si dice no, figuriamoci se sono ispirati consapevolmente. Però allora le analogie sono ancora più curiose.,
ab-26|Vi leggo un breve brano.
ab-27|che ho tirato giù da un sito di marketing.
ab-28|comunicazione.
ab-29|e management.
ab-30|E vediamo se identificate in questo brevissimo testo.
ab-31|quelle parole che anche travestite nel gergo anglofono del business internazionale in realtà vengono dritte dal mondo dei monaci medievali.,,
ab-32|La creazione di un'azienda di successo.
ab-33|passa per l'attenta concezione di una vision.
ab-34|E per il perseguimento della sua mission.
ab-35|Quando la vision è fissata con cura dall'imprenditore, essa viene trasmessa con semplicità al resto dei dipendenti che la assimilano più facilmente identificandosi con gli scopi dell'azienda.
ab-36|La mission è la fase successiva grazie ad esse eccetera eccetera. Ora è inglese o è business english non si sa bene che lingua sia. Però,,
ab-37|lo vedete da soli che visione.
ab-38|e missione sono parole che vengono dritte dal mondo dei frati e dei monaci.
ab-39|E oggi non c'è documento di marketing o manuale di comunicazione aziendale che queste parole non le impieghi a ogni riga.
ab-40|E d'altra parte perché le grandi aziende non dovrebbero ispirarsi al modello degli ordini religiosi medievali?.
ab-41|E un modello di tale successo!.
ab-42|Gli ordini religiosi medievali.
ab-43|Nascono tutte come start up.
ab-44|vengono tutti fondati a un certo momento dal nulla.
ab-45|e hanno dei tassi di crescita.
ab-46|che farebbero invidia a chiunque.
ab-47|Dieci anni dopo che Francesco d'Assisi ha avuto l'intuizione di fondare il suo ordine.
ab-48|i francescani erano già alcune migliaia.
ab-49|Il che vuol dire che erano quasi raddoppiati ogni anno.
ab-50|Per l'esattezza è stato calcolato un tasso di crescita dell'80 per 100 annuo.
ab-51|Ovviamente i frati.
ab-52|aderiscono all'ordine e vengono mantenuti perché l'ordine guadagna tramite donazioni a sufficienza per mantenerli quindi questa è vera crescita. Più sono i frati più evidentemente l'ordine sta ricevendo finanziamenti.
ab-53|Anche la conquista di nuovi mercati viene gestita dagli ordini religiosi.
ab-54|in modo scientifico manageriale.
ab-55|con campagne mirate di espansione.
ab-56|Resto sui francescani che offrono molti buoni esempi. I francescani nascono in Italia centrale.
ab-57|Per un po' si diffondono in Umbria Lazio.
ab-58|poi cominciano a decidere di espandersi all'estero.
ab-59|In Lombardia.
ab-60|E in Germania.
ab-61|E mandano delle missioni per l'appunto dei gruppi di predicatori specialmente preparati selezionati fra quelli che sanno predicare nelle lingue straniere in Lombardico.
ab-62|ed in teutonico.
ab-63|E un paese dopo l'altro viene conquistato. Nel 1219 Francesco decide di mandare un gruppo di frati in Francia.,,
ab-64|Finora.
ab-65|non c'erano ancora i francescani lì.
ab-66|Vent'anni dopo in Francia ci sono già qualcosa come 72 conventi.
ab-67|Questi tassi enormi di crescita.
ab-68|creano anche dei problemi naturalmente.
ab-69|In primo luogo proprio Francesco.
ab-70|Francesco a un certo punto ha aperto gli occhi e si è accorto di aver creato un mostro.
ab-71|Era a capo di una multinazionale.
ab-72|Lui che voleva andare in giro scalzo con quattro amici.
ab-73|a parlare di Gesù alla gente e mantenersi scaricando cassette al mercato.
ab-74|perché quello era il progetto originario.
ab-75|Una cosa non notissima ma ne riparleremo. Vedremo perché non è notissima. é che Francesco negli ultimi anni di vita è allibito di quello che è successo al suo progetto.
ab-76|Per un bel po' l'ha voluto lui.
ab-77|Poi di colpo si è accorto di cosa stava succedendo. Francesco negli ultimi anni di vita si dimette dalla direzione dell'Ordine francescano in polemica con quello che i francescani sono diventati.
ab-78|E creando dei grossissimi problemi all'ordine.
ab-79|Perché per l'immagine dell'organizzazione.
ab-80|e per la motivazione dei membri è importantissima tanto nelle grandi aziende di oggi quanto negli ordini religiosi. Per tutte queste cose,,
ab-81|il mito del fondatore.
ab-82|è essenziale.
ab-83|Ecco un altro aspetto che accomuna tante grandi aziende con molti ordini religiosi medievali e non solo.
ab-84|Se voi ci pensate nel ventesimo secolo e poi oggi.
ab-85|i grandi fondatori di aziende gli Henry Ford i Bill Gates gli Steve Jobs.
ab-86|sono stati mitizzati in vita.
ab-87|e poi sono diventati delle leggende.
ab-88|Introducendo una cosa che non sembra ma ha anch'essa delle precise origini medievali quella cosa mirabolante che è la biografia autorizzata.
ab-89|Sapete cos'è la biografia autorizzata nel caso di un personaggio pubblico di un grande imprenditore.
ab-90|è la compagnia stessa o gli eredi che affidano a un autore il compito di scrivere la biografia.
ab-91|e gli dicono cosa può scrivere e cosa non può scrivere e gli forniscono i documenti che vogliono loro.
ab-92|Ora questa non è nient'altro che la versione.
ab-93|moderna.
ab-94|dell'agiografia medievale.
ab-95|L'agiografia medievale consisteva nello scrivere la vita di un grande personaggio. Se penso ai fondatori di ordini gli esempi ve li darò subito.
ab-96|ovviamente dicendo le cose che bisognava dire e tacendo le altre.
ab-97|Oggi poi naturalmente si scoprono gli altarini. Se voi andate a cercare su internet il mito di Henry Ford o il mito di Steve Jobs è tutta la corsa a tirar fuori le cose che non sono state dette.
ab-98|Henry Ford era antisemita era nazista. Ma nelle grandi biografie autorizzate naturalmente questo non si dice.
ab-99|San Francesco è un esempio straordinario di come consapevolmente una grande organizzazione.
ab-100|costruisce il mito del suo fondatore.
ab-101|Francesco era appena morto.
ab-102|e l'Ordine francescano stabilisce di scrivere una biografia autorizzata ante litteram l'espressione non c'è ma è quello.
ab-103|Viene individuato un frate che conosceva bene Francesco Tommaso da Celano.
ab-104|e gli si dice Adesso tu scrivi la biografia di Francesco.
ab-105|Tommaso da Celano si mette al lavoro.
ab-106|Scrive.
ab-107|Quella che verrà poi conosciuta come la vita prima.
ab-108|di San Francesco. Lui non lo sapeva che era la prima mentre la scriveva.
ab-109|pensava che fosse la sua vita di San Francesco.
ab-110|e Tommaso da Celano racconta tante cose di San Francesco che la gente si ricorda.
ab-111|Racconta che San Francesco era un personaggio scomodo.
ab-112|Che i genitori erano una famiglia che pensava solo ai soldi per niente religiosi.
ab-113|Che lui da giovane pensava alla carriera al successo. Voleva diventare un cavaliere.
ab-114|E poi anche dopo quando ha avuto la vocazione e ha creato i francescani, Tommaso da Celano racconta che Francesco è rimasto sempre un personaggio scomodo.
ab-115|Racconta tanti aneddoti.
ab-116|che quando i capi dell'ordine leggono.
ab-117|si mettono le mani nei capelli cioè nella tonsura e si dicono ma.
ab-118|è il caso?.
ab-119|di scriverle queste cose?.
ab-120|Quella volta che Francesco era con un gruppetto di frati ed è arrivata una vecchietta che era la mamma di uno di loro a chiedere un po' di aiuto, un po' di carità.
ab-121|E Francsco ha detto: abbiamo qualcosa da dare alla nostra mamma?.
ab-122|perché dice tommaso, lui chiamava sempre la nostra mamma tutte le mamme di tutti i frati. E i frati gli dicono naturalmente no, non abbiamo niente siamo poveri.
ab-123|Dice Franceso non abbiamo proprio niente niente?.
ab-125|guardati intorno l'unico oggetto che c'è qui è il vangelo che usiamo per dir messa.
ab-126|e Francesco dice.
ab-127|ma vendiamolo!.
ab-128|Vendiamolo il vangelo e aiutiamo la nostra mamma ed Dio sarà molto più contento se facciamo così che non di vederci che usiamo il vangelo per cantare messa.
ab-129|Ecco.
ab-130|i capi dei francescani cominciano ad alzare un sopracciglio.
ab-131|poi si va avanti a leggere quel che racconta tommaso da celano, ne racconta tante cose tommaso da celano.
ab-132|quella volta che san francesco si èmesso a predicare agli uccelli.
ab-133|I capi dell'ordine francescano dicono: speriamo che stavolta gli uccellini sono inoffensivi no!.
ab-134|San Francesco si è messo predicare agli uccelli perché era andato a Roma.
ab-135|a parlare in pubblico e i romani non hanno voluto starlo a sentire.
ab-136|Perché Roma è una città del vizio e della corruzione. La città meno cristiana che ci sia e quindi francesco ha detto: non volete starmi a sentire? io me ne vado allora piuttosto. Esce, va alla discarica. Alla discarica comunale ci sono tutti gli uccellacci che svolazzano sulle discariche e san francesco si mette a predicare a loro.
ab-137|E poi francesco non era perfetto sbagliava e si arrabbiava, perdeva la pazienza.
ab-138|E queste cose tommaso da celano le racconta.
ab-139|Quella volta che c'era un frate che faceva assistenza ai lebbrosi.
ab-140|Nella loro casa perché i lebbrosi hanno la loro casetta però ci devono stare chiusi dentro.
ab-141|E invece il frate aveva fatto amicizia con uno di questi lebbrosi e lo portava sempre fuori a messa insieme a lui, e francesco gli diceva lascia perdere non portarlo questo arriva piagato sanguinante gocciolante alla gente.
ab-142|L'altro non la capisce e una bella volta francesco si arrabbia lo manda al diavol gli ordina di riportarsi via il lebbroso e di non farlo più vedere.
ab-143|poi si pente.
ab-144|Si rende conto di quel che ha fatto.
ab-145|E allora ha bisogno di fare penitenza.
ab-146|E va alla casa dei lebbrosi e si siede a tavola con loro e mangia con loro. Ora naturalmente sapete come funziona nel medioevo si mangia sempre su una tovaglia di bucato, guai a non averla! però però poi si pesca con le dita dal piatto comune.
