Model|Language|Sentence|WER
1500cmuModelIta|it|sentence1|0.2
1500cmuModelIta|it|sentence2|0.25
1500cmuModelIta|it|sentence3|0.2857142857142857
1500cmuModelIta|it|sentence4|0.25806451612903225
1500cmuModelIta|it|sentence5|0.2
1500cmuModelIta|it|sentence6|0.3793103448275862
1500cmuModelIta|it|sentence7|0.23728813559322035
1500cmuModelIta|it|sentence8|0.7342657342657343
1500cmuModelIta|it|Average|0.3180803770662324
GradTTSModel|en|sentence1|0.02040816326530612
GradTTSModel|en|sentence2|0.1111111111111111
GradTTSModel|en|sentence3|0.0
GradTTSModel|en|sentence4|0.07407407407407407
GradTTSModel|en|sentence5|0.18518518518518517
GradTTSModel|en|sentence6|0.0
GradTTSModel|en|sentence7|0.03508771929824561
GradTTSModel|en|sentence8|0.6046511627906976
GradTTSModel|en|Average|0.12881467696557747
500cmuModel|en|sentence1|0.12244897959183673
500cmuModel|en|sentence2|0.3333333333333333
500cmuModel|en|sentence3|0.47058823529411764
500cmuModel|en|sentence4|0.7777777777777778
500cmuModel|en|sentence5|0.3333333333333333
500cmuModel|en|sentence6|0.11764705882352941
500cmuModel|en|sentence7|0.17543859649122806
500cmuModel|en|sentence8|0.6434108527131783
500cmuModel|en|Average|0.3717472709197919
1000cmuModel|en|sentence1|0.08163265306122448
1000cmuModel|en|sentence2|0.3333333333333333
1000cmuModel|en|sentence3|0.47058823529411764
1000cmuModel|en|sentence4|0.5185185185185185
1000cmuModel|en|sentence5|0.5185185185185185
1000cmuModel|en|sentence6|0.4117647058823529
1000cmuModel|en|sentence7|0.19298245614035087
1000cmuModel|en|sentence8|0.6434108527131783
1000cmuModel|en|Average|0.3963436591826993
1500cmuModel|en|sentence1|0.1836734693877551
1500cmuModel|en|sentence2|0.8888888888888888
1500cmuModel|en|sentence3|0.4117647058823529
1500cmuModel|en|sentence4|0.48148148148148145
1500cmuModel|en|sentence5|0.25925925925925924
1500cmuModel|en|sentence6|0.29411764705882354
1500cmuModel|en|sentence7|0.19298245614035087
1500cmuModel|en|sentence8|0.7131782945736435
1500cmuModel|en|Average|0.42816827533406937
GradTTSModelita|it|sentence1|0.35555555555555557
GradTTSModelita|it|sentence2|0.5625
GradTTSModelita|it|sentence3|0.7857142857142857
GradTTSModelita|it|sentence4|0.6129032258064516
GradTTSModelita|it|sentence5|0.25
GradTTSModelita|it|sentence6|0.6551724137931034
GradTTSModelita|it|sentence7|0.6610169491525424
GradTTSModelita|it|sentence8|0.7972027972027972
GradTTSModelita|it|Average|0.585008153403092
500itaModel|it|sentence1|0.35555555555555557
500itaModel|it|sentence2|0.25
500itaModel|it|sentence3|0.2857142857142857
500itaModel|it|sentence4|0.1935483870967742
500itaModel|it|sentence5|0.2
500itaModel|it|sentence6|0.4482758620689655
500itaModel|it|sentence7|0.288135593220339
500itaModel|it|sentence8|0.7202797202797203
500itaModel|it|Average|0.34268867549195503
1000itaModel|it|sentence1|0.3111111111111111
1000itaModel|it|sentence2|0.25
1000itaModel|it|sentence3|0.2857142857142857
1000itaModel|it|sentence4|0.1935483870967742
1000itaModel|it|sentence5|0.25
1000itaModel|it|sentence6|0.4482758620689655
1000itaModel|it|sentence7|0.2542372881355932
1000itaModel|it|sentence8|0.6853146853146853
1000itaModel|it|Average|0.3347752024301769
1500itaModel|it|sentence1|0.28888888888888886
1500itaModel|it|sentence2|0.4375
1500itaModel|it|sentence3|0.35714285714285715
1500itaModel|it|sentence4|0.1935483870967742
1500itaModel|it|sentence5|0.25
1500itaModel|it|sentence6|0.4827586206896552
1500itaModel|it|sentence7|0.2542372881355932
1500itaModel|it|sentence8|0.7202797202797203
1500itaModel|it|Average|0.37304447027918614
